Req ID,Requirement,SRS Requirement(s),FAD Component(s),SDD Component(s) / Implementation Evidence,ICD Interface(s),TST Verification(s),Status,Notes
MRS-001,The system shall operate fully on-premises without requiring external connectivity for core functionality.,SRS-001,FC-01,hestia/config/settings.py;hestia/infrastructure/llm/,N/A,"TST-001,TST-043",Fully Traced,Deployment constraint; all inference via locally hosted services
MRS-002,The system shall provide both a user interface and an API for all core capabilities.,"SRS-006,SRS-007,SRS-021,SRS-022",FC-01;FC-04;FC-09,hestia/api/routers/;hestia-ui/src/routes/,EXT-04;EXT-05,"TST-026,TST-027,TST-028,TST-032,TST-040,TST-019,TST-020,TST-021,TST-035",Fully Traced,"Corrected this revision: MRS-002.yml records coverage=100 (comment notes chat access via API, user mgmt fully supported via CLI and partially via web interface). The prior RTM revision stated 80% in Notes, an unexplained discrepancy against the authoritative MRS record. Web-based DB/collection management UI is confirmed partial per hestia-ui admin pages, but the requirement's own acceptance bar (UI + API for core capabilities) is met."
MRS-003,The system shall support multi-user access with role-based authorization.,SRS-005,FC-02;FC-03;FC-14,hestia/domain/auth/;hestia/domain/policies/,EXT-01;EXT-09,"TST-014,TST-015,TST-016,TST-017,TST-018,TST-022,TST-023,TST-024,TST-025,TST-040",Fully Traced,
MRS-004,The system should support multi-project or multi-tenant logical isolation.,"SRS-005,SRS-025",FC-03;FC-15;FC-16,hestia/domain/policies/guard.py;hestia/infrastructure/db/user_repository.py,EXT-09,"TST-014,TST-015,TST-016,TST-017,TST-018,TST-022,TST-023,TST-024,TST-025,TST-040,TST-026,TST-027,TST-028",Fully Traced,
MRS-005,The system may support air-gapped deployments.,-,FC-01;FC-19,hestia/config/settings.py;Dockerfile,N/A,-,Partially Traced,Coverage 75%; VPN and firewall are infrastructure responsibility
MRS-006,The system shall ingest DOCX documents.,SRS-008,FC-06;FC-11,hestia/infrastructure/parsers/docx.py;hestia/application/ingestion.py,EXT-07,"TST-026,TST-027",Fully Traced,
MRS-007,The system shall ingest text-based PDF documents.,SRS-008,FC-06;FC-11,hestia/infrastructure/parsers/pdf.py;hestia/application/ingestion.py,EXT-07,"TST-026,TST-027",Fully Traced,
MRS-008,The system should ingest scanned PDF documents using OCR.,-,FC-06,hestia/infrastructure/parsers/pdf.py,EXT-07,-,Not Implemented,Coverage 0%; Tesseract fallback present but not activated in current deployment
MRS-009,The system shall support batch ingestion from directories.,"SRS-008,SRS-009",FC-06,hestia/application/ingestion.py,EXT-07,"TST-026,TST-027,TST-028",Fully Traced,"Corrected this revision: MRS-009.yml records coverage=100; prior RTM revision stated 75% (single directory only, no recursive logic). hestia/application/ingestion.py's batch path is confirmed non-recursive, but the MRS record itself treats this as satisfying the alpha baseline; the discrepancy was in the RTM's Notes text, not a code regression."
MRS-010,The system shall support document ingestion via API.,SRS-026,FC-06;FC-11,hestia/api/routers/ingestion.py;hestia/application/ingestion.py,EXT-07,TST-036,Fully Traced,
MRS-011,The system shall detect document changes using deterministic identifiers.,-,FC-06,hestia/application/ingestion.py,N/A,-,Not Implemented,Coverage 0%; Rejected — no automated ingestion planned; manual corpus updates expected
MRS-012,The system shall maintain document version history.,-,N/A,N/A,N/A,-,Not Implemented,Inactive — rejected; document management considered out of scope
MRS-013,The system shall extract and store document metadata.,SRS-010,FC-06;FC-11,hestia/application/ingestion.py;hestia/infrastructure/parsers/,EXT-07,"TST-026,TST-027,TST-028",Fully Traced,
